trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents,contracts_traded,actual_outcome_target,pnl_cents
2025-05-20T21:51:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747777860,9.00,BUY_YES,0.9162,91,1,1,9
2025-05-20T21:51:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747777860,9.00,BUY_NO,0.0816,91,1,0,9
2025-05-20T21:52:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747777920,8.00,BUY_YES,0.9327,93,1,1,7
2025-05-20T21:52:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747777920,8.00,BUY_NO,0.0833,91,1,0,9
2025-05-20T21:52:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777920,8.00,BUY_NO,0.0598,94,1,0,6
2025-05-20T21:52:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777920,8.00,BUY_NO,0.2373,76,1,0,24
2025-05-20T21:53:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747777980,7.00,BUY_YES,0.9640,96,1,1,4
2025-05-20T21:53:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747777980,7.00,BUY_NO,0.0861,91,1,0,9
2025-05-20T21:53:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777980,7.00,BUY_NO,0.0618,93,1,0,7
2025-05-20T21:54:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747778040,6.00,BUY_YES,0.9612,96,1,1,4
2025-05-20T21:54:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747778040,6.00,BUY_NO,0.0625,93,1,0,7
2025-05-20T21:55:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747778100,5.00,BUY_YES,0.9661,96,1,1,4
2025-05-20T21:55:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747778100,5.00,BUY_NO,0.0579,94,1,0,6
2025-05-20T21:55:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747778100,5.00,BUY_YES,0.6320,63,1,0,-63
2025-05-20T21:56:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747778160,4.00,BUY_NO,0.0972,90,1,0,10
2025-05-20T21:56:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747778160,4.00,BUY_YES,0.9662,96,1,1,4
2025-05-20T21:56:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747778160,4.00,BUY_YES,0.8687,86,1,0,-86
2025-05-20T21:57:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747778220,3.00,BUY_YES,0.6125,61,1,0,-61
2025-05-20T21:57:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747778220,3.00,BUY_NO,0.0737,92,1,0,8
2025-05-20T21:58:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747778280,2.00,BUY_NO,0.2471,75,1,0,25
2025-05-20T21:59:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747778340,1.00,BUY_NO,0.0945,90,1,0,10
2025-05-20T22:32:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747780320,28.00,BUY_YES,0.8594,85,1,1,15
2025-05-20T22:32:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747780320,28.00,BUY_NO,0.1502,84,1,1,-84
2025-05-20T22:32:00+00:00,KXBTCD-25MAY2019-T106499.99,106499.99,1747782000,1747780320,28.00,BUY_NO,0.3965,60,1,1,-60
2025-05-20T22:32:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780320,28.00,BUY_YES,0.9557,95,1,1,5
2025-05-20T22:33:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747780380,27.00,BUY_YES,0.8636,86,1,1,14
2025-05-20T22:33:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747780380,27.00,BUY_NO,0.1277,87,1,1,-87
2025-05-20T22:33:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780380,27.00,BUY_YES,0.9588,95,1,1,5
2025-05-20T22:34:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747780440,26.00,BUY_YES,0.8748,87,1,1,13
2025-05-20T22:34:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780440,26.00,BUY_YES,0.9602,96,1,1,4
2025-05-20T22:34:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747780440,26.00,BUY_NO,0.1175,88,1,1,-88
2025-05-20T22:35:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780500,25.00,BUY_YES,0.9556,95,1,1,5
2025-05-20T22:35:00+00:00,KXBTCD-25MAY2019-T106499.99,106499.99,1747782000,1747780500,25.00,BUY_NO,0.3337,66,1,1,-66
2025-05-20T22:35:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747780500,25.00,BUY_YES,0.8513,85,1,1,15
2025-05-20T22:35:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747780500,25.00,BUY_NO,0.0846,91,1,1,-91
2025-05-20T22:36:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747780560,24.00,BUY_NO,0.0496,95,1,1,-95
2025-05-20T22:36:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780560,24.00,BUY_YES,0.9194,91,1,1,9
2025-05-20T22:36:00+00:00,KXBTCD-25MAY2019-T106499.99,106499.99,1747782000,1747780560,24.00,BUY_NO,0.1942,80,1,1,-80
2025-05-20T22:36:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747780560,24.00,BUY_YES,0.6484,64,1,1,36
2025-05-20T22:37:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747780620,23.00,BUY_NO,0.0621,93,1,1,-93
2025-05-20T22:37:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780620,23.00,BUY_YES,0.9387,93,1,1,7
2025-05-20T22:37:00+00:00,KXBTCD-25MAY2019-T106499.99,106499.99,1747782000,1747780620,23.00,BUY_NO,0.1932,80,1,1,-80
2025-05-20T22:37:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747780620,23.00,BUY_YES,0.7353,73,1,1,27
2025-05-20T22:38:00+00:00,KXBTCD-25MAY2019-T106749.99,106749.99,1747782000,1747780680,22.00,BUY_NO,0.0632,93,1,1,-93
2025-05-20T22:38:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,1747782000,1747780680,22.00,BUY_YES,0.7342,73,1,1,27
2025-05-20T22:38:00+00:00,KXBTCD-25MAY2019-T106499.99,106499.99,1747782000,1747780680,22.00,BUY_NO,0.2065,79,1,1,-79
